R01,Astoria - Ditmars Blvd,40.775036000000000,-73.912033999999900,,N W,36081,Queens County
R03,Astoria Blvd,40.770257999999900,-73.917843000000000,,N W,36081,Queens County
R04,30 Av,40.766779000000000,-73.921479000000000,,N W,36081,Queens County
R05,Broadway,40.761820000000000,-73.925507999999900,,N W,36081,Queens County
R06,36 Av,40.756803999999900,-73.929575000000000,,N W,36081,Queens County
R08,39 Av,40.752882000000000,-73.932755000000000,,N W,36081,Queens County
R11,Lexington Av/59 St,40.762659999999900,-73.967258000000000,,N R W,36061,New York County
R13,5 Av/59 St,40.764811000000000,-73.973347000000000,,N R W,36061,New York County
R14,57 St - 7 Av,40.764664000000000,-73.980657999999900,,N Q R W,36061,New York County
R15,49 St,40.759900999999900,-73.984138999999900,,N R W,36061,New York County
R16,Times Sq - 42 St,40.754671999999900,-73.986754000000000,,N Q R W,36061,New York County
R17,34 St - Herald Sq,40.749566999999900,-73.987949999999900,,N Q R W,36061,New York County
R18,28 St,40.745494000000000,-73.988691000000000,,R W,36061,New York County
R19,23 St,40.741303000000000,-73.989343999999900,,R W,36061,New York County
R20,14 St - Union Sq,40.735735999999900,-73.990568000000000,,N Q R W,36061,New York County
R21,8 St - NYU,40.730328000000000,-73.992629000000000,,R W,36061,New York County
R22,Prince St,40.724328999999900,-73.997702000000000,,R W,36061,New York County
R23,Canal St,40.719526999999900,-74.001774999999900,,R W,36061,New York County
R24,City Hall,40.713282000000000,-74.006978000000000,,R W,36061,New York County
R25,Cortlandt St,40.710667999999900,-74.011029000000000,,R W,36061,New York County
R26,Rector St,40.707220000000000,-74.013342000000000,,R W,36061,New York County
R27,Whitehall St,40.703086999999900,-74.012993999999900,,R W,36061,New York County
