G08,Forest Hills - 71 Av,40.721691000000000,-73.844521000000000,,E F M R,36081,Queens County
G09,67 Av,40.726523000000000,-73.852718999999900,,M R,36081,Queens County
G10,63 Dr - Rego Park,40.729846000000000,-73.861604000000000,,M R,36081,Queens County
G11,Woodhaven Blvd,40.733105999999900,-73.869229000000000,,M R,36081,Queens County
G12,Grand Av - Newtown,40.737015000000000,-73.877223000000000,,M R,36081,Queens County
G13,Elmhurst Av,40.742453999999900,-73.882017000000000,,M R,36081,Queens County
G14,Jackson Hts - Roosevelt Av,40.746644000000000,-73.891338000000000,,E F M R,36081,Queens County
G15,65 St,40.749668999999900,-73.898453000000000,,M R,36081,Queens County
G16,Northern Blvd,40.752884999999900,-73.906006000000000,,M R,36081,Queens County
G18,46 St,40.756312000000000,-73.913332999999900,,M R,36081,Queens County
G19,Steinway St,40.756878999999900,-73.920740000000000,,M R,36081,Queens County
G20,36 St,40.752039000000000,-73.928781000000000,,M R,36081,Queens County
G21,Queens Plaza,40.748972999999900,-73.937243000000000,,E M R,36081,Queens County
R11,Lexington Av/59 St,40.762659999999900,-73.967258000000000,,N R W,36061,New York County
R13,5 Av/59 St,40.764811000000000,-73.973347000000000,,N R W,36061,New York County
R14,57 St - 7 Av,40.764664000000000,-73.980657999999900,,N Q R W,36061,New York County
R15,49 St,40.759900999999900,-73.984138999999900,,N R W,36061,New York County
R16,Times Sq - 42 St,40.754671999999900,-73.986754000000000,,N Q R W,36061,New York County
R17,34 St - Herald Sq,40.749566999999900,-73.987949999999900,,N Q R W,36061,New York County
R18,28 St,40.745494000000000,-73.988691000000000,,R W,36061,New York County
R19,23 St,40.741303000000000,-73.989343999999900,,R W,36061,New York County
R20,14 St - Union Sq,40.735735999999900,-73.990568000000000,,N Q R W,36061,New York County
R21,8 St - NYU,40.730328000000000,-73.992629000000000,,R W,36061,New York County
R22,Prince St,40.724328999999900,-73.997702000000000,,R W,36061,New York County
R23,Canal St,40.719526999999900,-74.001774999999900,,R W,36061,New York County
R24,City Hall,40.713282000000000,-74.006978000000000,,R W,36061,New York County
R25,Cortlandt St,40.710667999999900,-74.011029000000000,,R W,36061,New York County
R26,Rector St,40.707220000000000,-74.013342000000000,,R W,36061,New York County
R27,Whitehall St,40.703086999999900,-74.012993999999900,,R W,36061,New York County
R28,Court St,40.694099999999900,-73.991776999999900,,R,36047,Kings County
R29,Jay St - MetroTech,40.692180000000000,-73.985942000000000,,F R,36047,Kings County
R30,DeKalb Av,40.690635000000000,-73.981824000000000,,B Q R,36047,Kings County
R31,Atlantic Av - Barclays Ctr,40.683665999999900,-73.978809999999900,,D N R,36047,Kings County
R32,Union St,40.677315999999900,-73.983109999999900,,R,36047,Kings County
R33,9 St,40.670846999999900,-73.988302000000000,,R,36047,Kings County
R34,Prospect Av,40.665413999999900,-73.992871999999900,,R,36047,Kings County
R35,25 St,40.660396999999900,-73.998091000000000,,R,36047,Kings County
R36,36 St,40.655144000000000,-74.003548999999900,,D N R,36047,Kings County
R39,45 St,40.648938999999900,-74.010006000000000,,R,36047,Kings County
R40,53 St,40.645068999999900,-74.014033999999900,,R,36047,Kings County
R41,59 St,40.641362000000000,-74.017881000000000,,N R,36047,Kings County
R42,Bay Ridge Av,40.634966999999900,-74.023376999999900,,R,36047,Kings County
R43,77 St,40.629742000000000,-74.025509999999900,,R,36047,Kings County
R44,86 St,40.622686999999900,-74.028397999999900,,R,36047,Kings County
R45,Bay Ridge - 95 St,40.616622000000000,-74.030876000000000,,R,36047,Kings County
