A02,Inwood - 207 St,40.868071999999900,-73.919899000000000,,A,36061,New York County,
A03,Dyckman St,40.865490999999900,-73.927270999999900,,A,36061,New York County,
A05,190 St,40.859021999999900,-73.934179999999900,,A,36061,New York County,
A06,181 St,40.851694999999900,-73.937968999999900,,A,36061,New York County,
A07,175 St,40.847390999999900,-73.939704000000000,,A,36061,New York County,
A09,168 St,40.840719000000000,-73.939560999999900,,A C,36061,New York County,
A12,145 St,40.824783000000000,-73.944215999999900,D13,A B C D,36061,New York County,
A15,125 St,40.811109000000000,-73.952342999999900,,A B C D,36061,New York County,
A24,59 St - Columbus Circle,40.768295999999900,-73.981735999999900,,A B C D,36061,New York County,
A27,42 St - Port Authority Bus Terminal,40.757308000000000,-73.989734999999900,,A C E,36061,New York County,
A28,34 St - Penn Station,40.752287000000000,-73.993391000000000,,A C E,36061,New York County,
A31,14 St,40.740893000000000,-74.001689999999900,,A C E,36061,New York County,
A32,W 4 St,40.732337999999900,-74.000495000000000,D20,A B C D E F M,36061,New York County,
A34,Canal St,40.720824000000000,-74.005229000000000,,A C E,36061,New York County,
A36,Chambers St,40.714110999999900,-74.008584999999900,,A C,36061,New York County,
A38,Fulton St,40.710196999999900,-74.007691000000000,,A C,36061,New York County,
A40,High St,40.699337000000000,-73.990531000000000,,A C,36047,Kings County,
A41,Jay St - MetroTech,40.692337999999900,-73.987341999999900,,A C,36047,Kings County,
A42,Hoyt - Schermerhorn Sts,40.688484000000000,-73.985000999999900,,A C G,36047,Kings County,
A46,Nostrand Av,40.680438000000000,-73.950426000000000,,A C,36047,Kings County,
A48,Utica Av,40.679364000000000,-73.930728999999900,,A C,36047,Kings County,
A51,Broadway Jct,40.678334000000000,-73.905315999999900,,A C,36047,Kings County,
A55,Euclid Av,40.675377000000000,-73.872106000000000,,A C,36047,Kings County,
A57,Grant Av,40.677044000000000,-73.865049999999900,,A,36047,Kings County,
A59,80 St,40.679371000000000,-73.858992000000000,,A,36081,Queens County,
A60,88 St,40.679842999999900,-73.851469999999900,,A,36081,Queens County,
A61,Rockaway Blvd,40.680428999999900,-73.843852999999900,,A,36081,Queens County,
A63,104 St,40.681711000000000,-73.837682999999900,,A,36081,Queens County,
A64,111 St,40.684331000000000,-73.832162999999900,,A,36081,Queens County,
A65,Ozone Park - Lefferts Blvd,40.685951000000000,-73.825797999999900,,A,36081,Queens County,
A61,Rockaway Blvd,40.680428999999900,-73.843852999999900,,A,36081,Queens County,
H01,Aqueduct Racetrack,40.672086000000000,-73.835914000000000,,A,36081,Queens County,
H02,Aqueduct - N Conduit Av,40.668234000000000,-73.834057999999900,,A,36081,Queens County,
H03,Howard Beach - JFK Airport,40.660476000000000,-73.830301000000000,,A,36081,Queens County,
H04,Broad Channel,40.608381999999900,-73.815924999999900,,A S,36081,Queens County,
H06,Beach 67 St,40.590927000000000,-73.796924000000000,,A,36081,Queens County,
H07,Beach 60 St,40.592374000000000,-73.788522000000000,,A,36081,Queens County,
H08,Beach 44 St,40.592942999999900,-73.776013000000000,,A,36081,Queens County,
H09,Beach 36 St,40.595397999999900,-73.768174999999900,,A,36081,Queens County,
H10,Beach 25 St,40.600065999999900,-73.761353000000000,,A,36081,Queens County,
H11,Far Rockaway - Mott Av,40.603994999999900,-73.755405000000000,,A,36081,Queens County,
H04,Broad Channel,40.608381999999900,-73.815924999999900,,A S,36081,Queens County,
H12,Beach 90 St,40.588034000000000,-73.813641000000000,,A S,36081,Queens County,
H13,Beach 98 St,40.585307000000000,-73.820557999999900,,A S,36081,Queens County,
H14,Beach 105 St,40.583209000000000,-73.827558999999900,,A S,36081,Queens County,
H15,Rockaway Park - Beach 116 St,40.580902999999900,-73.835592000000000,,A S,36081,Queens County,
